code_langue;lib_langue_en;lib_langue_fr
ab;Abkhazian;
aa;Afar;
af;Afrikaans;
ak;Akan;
sq;Albanian;Albanais
am;Amharic;
ar;Arabic;Arabe
hy;Armenian;
as;Assamese;
ay;Aymara;
az;Azerbaijani;
ba;Bashkir;
eu;Basque;
be;Belarusian;
bn;Bengali;
bh;Bihari;
bi;Bislama;
bs;Bosnian;
br;Breton;
bg;Bulgarian;Bulgare
my;Burmese;
ca;Catalan;Catalan
ceb;Cebuano;
chr;Cherokee;
zh;Chinese;Chinois
co;Corsican;
hr;Croatian;Croate
cs;Czech;Tchèque
da;Danish;Danois
dv;Dhivehi;
nl;Dutch;Néerlandais
dz;Dzongkha;
en;English;Anglais
eo;Esperanto;
et;Estonian;
fo;Faroese;
fj;Fijian;
fi;Finnish;Finnois
fr;French;Français
fy;Frisian;
gl;Galician;
lg;Ganda;
ka;Georgian;
de;German;Allemand
el;Greek;Grec
kl;Greenlandic;
gn;Guarani;
gu;Gujarati;
ht;Haitian Creole;
ha;Hausa;
haw;Hawaiian;
iw;Hebrew;Hébreu
hi;Hindi;
hmn;Hmong;
hu;Hungarian;Hongrois
is;Icelandic;Islandais
ig;Igbo;
id;Indonesian;Indonésien
ia;Interlingua;
ie;Interlingue;
iu;Inuktitut;
ik;Inupiak;
ga;Irish;
it;Italian;Italien
ja;Japanese;Japonais
jw;Javanese;
kn;Kannada;
ks;Kashmiri;
kk;Kazakh;
kha;Khasi;
km;Khmer;
rw;Kinyarwanda;
ko;Korean;Coréen
ku;Kurdish;Kurde
ky;Kyrgyz;
lo;Laothian;
la;Latin;Latin
lv;Latvian;
lif;Limbu;
ln;Lingala;
lt;Lithuanian;
lb;Luxembourgish;
mk;Macedonian;
mg;Malagasy;
ms;Malay;
ml;Malayalam;
mt;Maltese;
gv;Manx;
mi;Maori;
mr;Marathi;
mfe;Mauritian Creole;
mn;Mongolian;Mongol
0;Multi-Language;Multilingue
na;Nauru;
nr;Ndebele;
ne;Nepali;Népalais
no;Norwegian;Norvégien
ny;Nyanja;
oc;Occitan;
or;Oriya;
om;Oromo;
ps;Pashto;
nso;Pedi;
fa;Persian;Perse
pl;Polish;Polonais
pt;Portuguese;Portugais
pa;Punjabi;
qu;Quechua;
rm;Rhaeto Romance;
ro;Romanian;Roumain
rn;Rundi;
ru;Russian;Russe
sm;Samoan;
sg;Sango;
sa;Sanskrit;
sco;Scots;
gd;Scots Gaelic;
sr;Serbian;Serbe
sh;Serbo-Croatian;Serbo-Croate
crs;Seselwa;
st;Sesotho;
sn;Shona;
sd;Sindhi;
si;Sinhalese;
ss;Siswant;
sk;Slovak;Slovaque
sl;Slovenian;Slovénien
so;Somali;
es;Spanish;Espagnol
su;Sundanese;
sw;Swahili;
sv;Swedish;Suédois
syr;Syriac;
tl;Tagalog;
tg;Tajik;
ta;Tamil;
tt;Tatar;
te;Telugu;
th;Thai;
bo;Tibetan;
ti;Tigrinya;
to;Tonga;
ts;Tsonga;
tn;Tswana;
tr;Turkish;Turque
tk;Turkmen;
ug;Uighur;
uk;Ukrainian;Ukrainien
ur;Urdu;
uz;Uzbek;
ve;Venda;
vi;Vietnamese;Vietnamien
vo;Volapuk;
war;Waray Philippines;
cy;Welsh;Gallois
wo;Wolof;
xh;Xhosa;
yi;Yiddish;
yo;Yoruba;
za;Zhuang;
zu;Zulu;
